task	best_threshold	prior	log2(auprc/prior)
UBERON:0002435	0.002176418493495369	0.0029551797734362175	7.703479899898632
UBERON:0000955	0.2821957659562489	0.045098039215686274	4.470791480801845
UBERON:0002020	0.9630254783138384	0.004940148204446134	7.285048697428177
UBERON:0000165	0.37376486557766525	0.0025571600481347776	7.174554555607701
CL:0000576	0.3633675735952061	0.00216169476869866	8.853621455748828
UBERON:0035553	0.003133193470212481	0.0012512512512512512	9.642412772905056
CL:0000164	0.0007977918366425859	0.009685708638070766	1.7984669386838994
UBERON:0010011	0.0021772040958249685	0.006316180568456251	6.750367542535589
UBERON:0008811	0.02383556536260686	0.002188782489740082	8.8356556908398
UBERON:0010392	0.1351292921788105	0.0027837530051879034	7.212694511345044
CL:0002328	0.5284146013133454	0.008026970621287526	6.960928667311696
UBERON:0000200	0.8318010735946177	0.0012922679302175318	9.595879064845505
UBERON:0002372	0.005628416679305346	0.002107037505267594	7.573192723781613
CL:0002202	0.04766573394289602	0.0205799812909261	5.602614519083193
UBERON:0001870	0.6903979042846841	0.009684832567301379	6.690057177125451
UBERON:0002728	0.8427968736746169	0.0012922679302175318	9.595879064845505
CL:0000775	0.010597895722427569	0.0027810885975367503	8.490134579103374
UBERON:0002308	0.0021762124481694905	0.00436388049681101	6.61855180134747
UBERON:0001155	0.5310050866654813	0.04315140580363855	4.523052702906725
UBERON:0002031	0.21655128002918356	0.005634350106858364	7.471535072078963
CL:0002319	0.027873676442443	0.0036908380373425966	6.000533278521495
UBERON:0000072	0.198093740412392	0.06750065155069064	3.877078997316039
UBERON:0000991	0.06589955388296653	0.014111498257839722	6.117994446386321
UBERON:0000204	0.0021770008665177717	0.0031288023639840083	7.621115265699195
UBERON:0000945	0.006261753974158201	0.02973168963016679	5.066699855858221
UBERON:0010147	0.6571875159969345	0.0047302032235459	7.723882117312295
UBERON:0001017	0.06922871741118544	0.030478063168243825	5.022399293953683
CL:0001201	0.0017137976009443652	0.01812267657992565	4.551875248286471
UBERON:0003133	0.13577081324205845	0.033713877987870136	4.855153648878022
UBERON:0001041	0.0041203305284237815	0.02973168963016679	4.964236968546341
UBERON:0016525	0.48507534421833454	0.0020198881292728403	8.951508892582353
UBERON:0001890	0.8988343129280455	0.02389010551463269	5.315336576868774
UBERON:0001332	0.025646533901085056	0.0027772956084013193	8.49210354247923
UBERON:0000073	0.7828380389321559	0.00851214754389076	6.751909370983828
UBERON:0019319	0.030095423543509633	0.0014803849000740192	8.379053399158886
UBERON:0003528	0.30529652275507957	0.01253959873284055	5.642146445170538
UBERON:0004151	0.0071092402267048625	0.0012512512512512512	9.642412772905056
UBERON:0002481	0.00014166684389131334	0.003938730853391685	0.0
UBERON:0002037	0.0003665969733460858	0.012164429530201342	3.820095638354434
UBERON:0000474	0.07578102643343303	0.0053329864724245574	7.550840616155667
UBERON:0001003	3.654268700647663e-05	0.005263157894736842	0.0
UBERON:0004765	0.08884804420890392	0.040310077519379844	3.750888284924504
UBERON:0002465	0.040154979784743486	0.04655139654189626	3.532948682448979
UBERON:0004908	0.0453596399541413	0.0023391812865497076	8.73978060977326
UBERON:0005399	0.9700676154047762	0.029362696029362697	5.089871749876277
UBERON:0004802	0.5123836403597093	0.011566771819137749	6.433869912223266
UBERON:0001557	0.0032331125776618682	0.005823036500497088	7.424012622626242
UBERON:0010260	0.5111133866111913	0.0016842105263157896	9.213711798105672
UBERON:0002072	0.01595236598719302	0.009523809523809525	6.497186540632716
UBERON:0011215	0.9628464504427948	0.004940148204446134	7.284967733782837
CL:0000145	0.08525145257374855	0.011903054639323103	6.10724978626125
UBERON:0005409	0.05242259325169422	0.10886889460154242	3.197166641871915
UBERON:0005401	0.840967147780489	0.0142200831327937	5.67670328669657
UBERON:0002097	0.20758405072491096	0.004896770778189518	7.612009495104895
UBERON:0005156	0.12019926295252402	0.09152542372881356	3.3008176965769787
UBERON:0002190	0.20403853912071745	0.0706054211978575	3.8240772295785903
UBERON:0006098	0.002176756570119764	0.0029551797734362175	7.703479899898632
UBERON:0000079	0.044003437585876826	0.04059701492537313	4.622482538982157
UBERON:0001895	0.0007572106506072431	0.012164429530201342	1.7099842611376586
CL:0000540	0.016077809343158816	0.002073613271124935	8.264991636869684
CL:2000064	0.004363953615126687	0.009633911368015413	6.697662633470519
UBERON:0019264	0.8939891842327964	0.006773569256289743	5.320835206669401
UBERON:0004732	0.0007923370509892086	0.006177441687080626	2.4284996317315795
CL:0002553	0.09623942672149904	0.003925417075564278	7.992938336165814
UBERON:0015410	0.13114462326755963	0.016042780748663103	5.96193195916648
UBERON:0004804	0.01018870092682521	0.009081735620585268	6.776792458116406
CL:0000084	0.19728288662924312	0.016615653694796676	5.685571364798699
UBERON:0002371	0.008267733575336125	0.21622618315918868	2.1761084061060365
UBERON:0000171	0.31931717724320047	0.061591695501730104	3.9961835526661527
UBERON:0000059	0.06366707007636899	0.031569173630454965	4.985339693293868
UBERON:0008397	0.7207312691480595	0.004088504088504088	7.93421120160803
UBERON:0003889	0.04723273636041427	0.010552570990023024	6.5662616550434745
CL:0000125	0.0008004610435557355	0.0011217049915872126	1.186913136903194
CL:2000001	0.09479278093894165	0.06702641295086623	3.6435233336002564
UBERON:0002368	0.6337204427325082	0.018961708394698084	5.042345227406276
UBERON:0005366	0.6622846845749522	0.005133964383122092	7.605710997410885
UBERON:0003937	0.9700943884611768	0.029362696029362697	5.089871749876277
UBERON:0001638	0.5239744809522904	0.0016842105263157896	9.213711798105672
UBERON:0004537	0.49711928511590003	0.003723624327678941	7.993127903089972
UBERON:0000117	0.6473759705627719	0.007788944723618091	7.004356405044136
UBERON:0002028	0.002184469079152786	0.012164429530201342	3.8032011554296967
UBERON:0013755	0.8826094400385057	0.010276172125883108	6.604553229079037
UBERON:0002423	0.23265624626573572	0.026597856292179436	4.873857570081316
UBERON:0019042	0.24043354124122826	0.0035440047253396337	8.140403757174486
UBERON:0002369	0.09419852901818851	0.011368945647095468	6.458757724483719
UBERON:0006858	0.002684764174142107	0.011889518931772453	6.394165847171129
UBERON:8440011	0.05094235364779524	0.0027548209366391185	8.50382573799575
CL:0000842	0.06753659439082028	0.20050416909055652	1.8375288025411989
UBERON:0003134	0.04402217917647875	0.057561258518196316	3.9912808117214134
UBERON:0000002	0.01589531562244068	0.0017967145790554414	8.81819282576747
UBERON:0004815	0.7412492619756162	0.004088504088504088	7.93421120160803
UBERON:0002421	0.5985914116414011	0.007460545193687231	7.066503222614693
UBERON:0003975	0.11221411595842841	0.0024132170038982737	8.686877878582512
