task	best_threshold	prior	log2(auprc/prior)
MONDO:0020120	0.1342341216709126	0.012228260869565218	5.8250010692433145
MONDO:0700092	0.1941665283862624	0.02309782608695652	5.259026538727174
MONDO:0005101	0.0534042442975938	0.006802721088435374	7.065371253124773
MONDO:0021143	0.0826480257129538	0.03804347826086957	4.55395860573606
MONDO:0005072	0.079651385553566	0.034013605442176874	4.845951022096088
MONDO:0016105	0.0080980880891087	0.004076086956521739	6.57324155857953
MONDO:0004987	0.0083285258692522	0.004076086956521739	7.356574237694254
MONDO:0021350	0.1832612309022646	0.10597826086956522	3.1391203027417447
MONDO:0005525	0.0219939408760426	0.006811989100817439	5.699570279036054
MONDO:0020076	0.1079495196474659	0.04644808743169399	4.125487586541057
MONDO:0005232	0.010462893599142	0.004098360655737705	6.853775355748002
MONDO:0018908	0.110735912645136	0.05040871934604905	3.902535600182747
MONDO:0005627	0.0398600125691902	0.01227830832196453	6.015093431445489
MONDO:0000761	0.0129048015050854	0.005434782608695652	7.084276910531492
MONDO:0005499	0.0043530187879655	0.004132231404958678	5.292080560858811
MONDO:0021084	0.0289663005055091	0.005434782608695652	7.351380980674333
MONDO:0005192	0.031743266279945	0.00821917808219178	6.731525564550502
MONDO:0021639	0.0228966632722475	0.005442176870748299	6.5784749611406435
MONDO:0002512	0.0425195129826905	0.00546448087431694	7.390168956200183
MONDO:0011962	0.0084553663602541	0.004092769440654843	6.52504891849941
MONDO:0040677	0.1072650895038103	0.006830601092896175	6.715457914268547
MONDO:0007256	0.070852199939559	0.026027397260273973	4.984298476886984
MONDO:0003225	0.1585642370919689	0.04755434782608696	4.1872749724661675
MONDO:0006816	0.0403151460515776	0.017663043478260868	5.649612436474438
MONDO:0009807	0.0047220962970146	0.004098360655737705	7.930737337562887
MONDO:0005093	0.0397627003392582	0.025815217391304348	4.615957039129101
MONDO:0001516	0.0079888307440787	0.004081632653061225	7.673603533168777
MONDO:0043218	0.0183738822418273	0.00816326530612245	6.93663793900257
MONDO:0010150	0.0125787782616712	0.006839945280437756	7.001899799861497
MONDO:0004993	0.4200372831769654	0.17053206002728513	2.2739840065871526
MONDO:0004867	0.0232523477116948	0.01358695652173913	5.691345057788066
MONDO:0019118	0.0319024890607951	0.005434782608695652	7.351380980674333
MONDO:0018881	0.04283417615601	0.004081632653061225	7.290274893617271
MONDO:0021118	0.0866284998777677	0.04619565217391304	4.117233448390599
MONDO:0005271	0.0131009254535997	0.006793478260869565	5.124291772636486
MONDO:0003240	0.0083367967604815	0.005442176870748299	7.191451838031396
MONDO:0019044	0.1551924666519599	0.11700680272108843	3.049407180797714
MONDO:0019086	0.0234741981100265	0.004098360655737705	7.667702931729092
MONDO:0005108	0.1057883774866328	0.04625850340136054	4.140393492392999
MONDO:0000605	0.044889087464276	0.009510869565217392	5.778647608775316
MONDO:0020238	0.0275251520480005	0.006793478260869565	7.1167449635831375
MONDO:0044881	0.1659695762949678	0.11836734693877551	2.941779994950359
MONDO:0002251	0.0317178081992524	0.006802721088435374	7.065371253124773
MONDO:0024622	0.1461427380586991	0.005471956224350205	7.513727595952437
MONDO:0002547	0.0051180895699495	0.004081632653061225	7.673603533168777
MONDO:0005154	0.0890234706481251	0.03945578231292517	4.472262927836339
MONDO:0011996	0.0293815876213455	0.016415868673050615	5.6785417469706525
MONDO:0018177	0.1360312641795703	0.027548209366391185	5.056093610882174
MONDO:0004580	0.0228119154368541	0.005434782608695652	7.449561374613236
MONDO:0004959	0.097385766842652	0.013623978201634877	6.184532769208118
MONDO:0021230	0.0613722217575328	0.005434782608695652	7.231381204563703
MONDO:0002271	0.0132489130733676	0.004225352112676056	7.482322458591553
MONDO:0011057	0.0120557869943386	0.005442176870748299	7.247425476284732
MONDO:0005148	0.0161098275437696	0.006811989100817439	7.197708157955851
MONDO:0000653	0.0536246915246167	0.01227830832196453	5.272013075685638
MONDO:0006513	0.0376934486433945	0.007112375533428165	6.444129855574679
MONDO:0006316	0.079671329109478	0.034013605442176874	4.845951022096088
MONDO:0000931	0.0491081805541796	0.008152173913043478	6.834763644351317
MONDO:0017343	0.0283759456675509	0.008152173913043478	6.755735398186046
MONDO:0005292	0.1067701396983294	0.00816326530612245	6.93663793900257
MONDO:0003409	0.0868875899041387	0.019021739130434784	5.064651996765207
MONDO:0006011	0.0316436082292742	0.006811989100817439	6.523478319137607
MONDO:0015759	0.1043963982472487	0.03274215552523874	4.807106208176288
MONDO:0015653	0.020459792532381	0.004087193460490463	7.4540479112156355
MONDO:0003150	0.0461453620595396	0.028532608695652172	4.618293296933832
MONDO:0024635	0.0113967215847758	0.005434782608695652	7.25536584510744
MONDO:0005462	0.1505934985881524	0.035326086956521736	4.776989665340018
MONDO:0005097	0.0837529177634379	0.008253094910591471	6.502244938899402
MONDO:0021179	0.0099121670537745	0.004081632653061225	4.923997388746031
MONDO:0002813	0.0218725895673332	0.004092769440654843	7.374216598052691
MONDO:0000616	0.1181119402557094	0.004267425320056899	7.0529906239932
MONDO:0005718	0.0242102647434184	0.004087193460490463	7.934673752122056
MONDO:0020511	0.0077532877199798	0.00411522633744856	7.92481250360578
MONDO:0004980	0.0232419693562246	0.004081632653061225	6.8386627794392725
MONDO:0002898	0.0143833119346001	0.004092769440654843	7.72625600994523
MONDO:0002602	0.392525716549891	0.2554347826086957	1.84932943967038
MONDO:0017595	0.0637044600930743	0.019099590723055934	5.206781961996567
MONDO:0000314	0.0205137681153054	0.008174386920980926	6.653202098031587
MONDO:0005564	0.1595545656577355	0.04891304347826087	4.272609698679289
MONDO:0002908	0.0662333972182671	0.013605442176870748	5.935982019445516
MONDO:0003182	0.1539905335735363	0.02309782608695652	5.147925327523142
MONDO:0002525	0.0046674361083098	0.004081632653061225	6.290274893617271
MONDO:0005217	0.022489794729939	0.006802721088435374	5.977852307971178
MONDO:0005328	0.0481788352357361	0.021739130434782608	4.815458660853975
MONDO:0005021	0.0648555764598645	0.006802721088435374	6.2106226443969055
MONDO:0024634	0.1126386593103765	0.050271739130434784	4.135601597170251
MONDO:0002082	0.1171003426606496	0.04897959183673469	4.154151588657363
MONDO:0008903	0.2280353921934686	0.036834924965893585	4.22205761542894
MONDO:0005283	0.0191850621096974	0.009510869565217392	6.215310493212147
MONDO:0005559	0.208342459288275	0.08967391304347826	3.2951807289640964
MONDO:0006116	0.0301468871624885	0.011379800853485065	5.39707965476875
MONDO:0005864	0.0077000882960921	0.004092769440654843	7.286343842027356
MONDO:0021353	0.0318843586033914	0.010869565217391304	6.01886353116237
MONDO:0005020	0.0973961334181219	0.059782608695652176	3.9888481477450637
MONDO:0017276	0.0061824286810744	0.004087193460490463	7.352656529812518
MONDO:0001933	0.0526448375378069	0.013605442176870748	5.920491869167172
MONDO:0024573	0.0242999584536099	0.004081632653061225	7.354616713593536
MONDO:0005833	0.0080842672393553	0.005434782608695652	5.703847469105047
MONDO:0021069	0.099030145497111	0.045020463847203276	4.230168814022383
MONDO:0000376	0.1555528800973182	0.040927694406548434	4.220245885310395
MONDO:0002567	0.1106404530686712	0.006793478260869565	7.025383221477923
MONDO:0005089	0.0363680937680664	0.020463847203274217	5.126885618869994
MONDO:0005213	0.0094760689388308	0.004098360655737705	7.930737337562887
MONDO:0002116	0.0605395304004642	0.008207934336525308	6.852351979712113
MONDO:0019956	0.0039741480420693	0.004076086956521739	7.356574237694254
MONDO:0019060	0.1904731180668871	0.05298913043478261	3.7021069341002653
MONDO:0005258	0.059066794001697	0.016304347826086956	5.867854874702619
MONDO:0024352	0.0126662011161308	0.006811989100817439	7.112819260369338
MONDO:0002108	0.0093400950568123	0.0068212824010914054	7.195741293246449
MONDO:0007763	0.0233216745376659	0.00411522633744856	7.92481250360578
MONDO:0005265	0.0418657691756756	0.012228260869565218	6.3058993921818765
MONDO:0005061	0.1097387742215194	0.016574585635359115	5.540423136659727
MONDO:0006704	0.0987692243219803	0.017687074829931974	5.629482560976546
MONDO:0036976	0.017410346629665	0.005442176870748299	5.822552101641257
MONDO:0005005	0.0233344329885614	0.00411522633744856	7.92481250360578
MONDO:0006256	0.0636360785791207	0.007122507122507123	6.293863797610444
MONDO:0012817	0.0099088044566815	0.004098360655737705	7.930737337562887
MONDO:0010643	0.2286073441807527	0.055858310626702996	4.065147871022627
MONDO:0005090	0.0590211458275671	0.021739130434782608	5.42193366074602
MONDO:0024880	0.0172152636363325	0.0068212824010914054	4.974489871778304
MONDO:0100038	0.0712537966535662	0.020380434782608696	5.543786984121047
MONDO:0001014	0.1035999241822931	0.01226158038147139	6.091522160921377
MONDO:0021251	0.0062763629530058	0.004076086956521739	7.626655449021117
MONDO:0001406	0.0085120542556156	0.004081632653061225	6.412213982193665
MONDO:0006047	0.0276981136387253	0.0054869684499314125	7.346276272044058
MONDO:0005497	0.0047720936059814	0.004076086956521739	6.581061063038828
MONDO:0021089	0.0034430032987797	0.004092769440654843	7.932706887412656
MONDO:0005554	0.1077236558344291	0.029891304347826088	4.777540199780868
MONDO:0015650	0.0144445765434849	0.004087193460490463	7.449246924951815
MONDO:0021355	0.0151433874191377	0.005434782608695652	7.523561956057013
MONDO:0024883	0.0113256647263718	0.006793478260869565	4.930118997535636
MONDO:0004298	0.3619178066015096	0.008152173913043478	6.585637439063524
MONDO:0004251	0.0050699143751759	0.004076086956521739	7.938599455335857
MONDO:0005135	0.0075434729599756	0.004081632653061225	7.439138279531753
MONDO:0005549	0.0348880468803304	0.00411522633744856	7.799281621521922
MONDO:0016120	0.0130359327435767	0.004076086956521739	7.938599455335857
MONDO:0003749	0.0282252095872991	0.006793478260869565	7.20163386116965
MONDO:0037256	0.0379264766457953	0.004081632653061225	7.088641032447621
MONDO:0100329	0.1514929256128789	0.04223433242506812	4.39689375213727
MONDO:0005267	0.0650754440288294	0.02312925170068027	5.309865915005865
MONDO:0100096	0.0242114375782741	0.004087193460490463	7.934673752122056
MONDO:0005084	0.186692907211853	0.059782608695652176	3.912445185740665
MONDO:0000510	0.0075639121954277	0.004087193460490463	7.384199627786191
MONDO:0006424	0.017257221459407	0.01358695652173913	5.447893157001356
MONDO:0022034	0.028592609862493	0.010899182561307902	6.250029193085933
MONDO:0000621	0.2235251705013794	0.06684856753069578	3.748102106743666
MONDO:0020592	0.0077410426916572	0.004076086956521739	6.0034505996858245
MONDO:0100310	0.0040219973064338	0.004076086956521739	7.938599455335857
MONDO:0003274	0.2310965399522742	0.10504774897680765	3.1541910790357393
MONDO:0007576	0.0170579946221583	0.004092769440654843	7.375578594888225
MONDO:0021193	0.1424502646941087	0.08423913043478261	3.503571554660502
MONDO:0002229	0.0425633139439103	0.00816326530612245	6.48839807159773
MONDO:0001657	0.0259077574770277	0.008185538881309686	5.214760865313511
MONDO:0002334	0.1426709130021924	0.12364130434782608	2.9080372988731034
MONDO:0021678	0.0052828280432012	0.004087193460490463	7.72822287465463
MONDO:0015925	0.1413428375362563	0.005442176870748299	6.60177078840771
MONDO:0005560	0.2930061631888364	0.1480978260869565	2.546353529066479
MONDO:0000637	0.0982588592130022	0.05320600272851296	3.8955643838317546
MONDO:0004970	0.2528771267607962	0.1051912568306011	2.8399640774498516
MONDO:0005211	0.0203047663442682	0.0041265474552957355	7.920849053198438
MONDO:0002269	0.0623078907347149	0.009510869565217392	6.621919438410646
MONDO:0006130	0.1666819172048298	0.059782608695652176	3.8663457180364196
MONDO:0000426	0.0085142095922357	0.008152173913043478	5.794715665999169
MONDO:0002427	0.026637465459895	0.010869565217391304	6.204922783794588
MONDO:0020010	0.0084688071051806	0.005442176870748299	6.955929277611331
MONDO:0005876	0.0242210198884143	0.004087193460490463	7.934673752122056
