node,IC
MONDO:0002816,6.124983684755451
MONDO:0000004,6.560301756013297
MONDO:0021034,6.445891404835553
MONDO:0000005,7.859584740143557
MONDO:0002243,5.320610869085281
MONDO:0000009,6.59107341468005
MONDO:0002245,5.329421498767436
MONDO:0003847,0.7929281785755649
MONDO:0001703,7.417751987864518
MONDO:0000014,9.363662136919832
MONDO:0003832,6.501461255990364
MONDO:0000015,7.417751987864518
MONDO:0024290,8.670514956359886
MONDO:0000022,8.958197028811668
MONDO:0015508,7.417751987864518
MONDO:0000023,8.447371405045677
MONDO:0002612,7.859584740143557
MONDO:0000030,8.265049848251723
MONDO:0017704,6.59107341468005
MONDO:0000032,7.284220595239995
MONDO:0000044,7.859584740143557
MONDO:0024300,7.754224224485731
MONDO:0000045,7.754224224485731
MONDO:0018612,6.086517403927655
MONDO:0013099,7.061077043925787
MONDO:0000050,7.859584740143557
MONDO:0001149,6.0678252709155025
MONDO:0000060,8.670514956359886
MONDO:0000062,6.760972451475448
MONDO:0021129,5.9136745910882444
MONDO:0020573,3.7024392766824263
MONDO:0000065,7.977367775799941
MONDO:0004069,4.151447469425206
MONDO:0000066,5.662360162807338
MONDO:0015979,5.852116698088811
MONDO:0000070,8.265049848251723
MONDO:0020128,5.129555632322572
MONDO:0000075,7.571902667691777
MONDO:0019796,7.3487591163775665
MONDO:0000078,7.754224224485731
MONDO:0005298,7.571902667691777
MONDO:0000079,8.958197028811668
MONDO:0005039,2.7906805379233264
MONDO:0000082,10.056809317479777
MONDO:0002320,3.589110591375423
MONDO:0000087,7.417751987864518
MONDO:0002259,3.8184846924402693
MONDO:0000088,7.859584740143557
MONDO:0021147,1.7040191823551485
MONDO:0005181,7.284220595239995
MONDO:0000090,7.491859960018241
MONDO:0000093,9.363662136919832
MONDO:0000387,8.447371405045677
MONDO:0000104,8.958197028811668
MONDO:0006506,8.110899168424464
MONDO:0000105,8.670514956359886
MONDO:0007500,8.265049848251723
MONDO:0000107,8.447371405045677
MONDO:0015397,8.110899168424464
MONDO:0000108,8.958197028811668
MONDO:0015412,7.571902667691777
MONDO:0000110,8.447371405045677
MONDO:0015503,6.760972451475448
MONDO:0018562,6.689513487493302
MONDO:0000111,8.670514956359886
MONDO:0000114,8.958197028811668
MONDO:0000115,8.447371405045677
MONDO:0019288,5.568172947747637
MONDO:0000118,7.977367775799941
MONDO:0100118,3.374700720029968
MONDO:0005453,5.23652775187474
MONDO:0000119,7.859584740143557
MONDO:0019695,6.59107341468005
MONDO:0000127,8.670514956359886
MONDO:0004183,8.265049848251723
MONDO:0000128,8.958197028811668
MONDO:0020127,4.173486928991498
MONDO:0005066,2.311373707205396
MONDO:0000129,7.859584740143557
MONDO:0006025,3.1743718464819297
MONDO:0000133,8.447371405045677
MONDO:0100137,5.979271873574057
MONDO:0006552,7.977367775799941
MONDO:0000136,8.958197028811668
MONDO:0006566,5.23652775187474
MONDO:0018855,8.110899168424464
MONDO:0020162,6.965766864121461
MONDO:0800159,8.110899168424464
MONDO:0000137,8.447371405045677
MONDO:0005560,2.558493446712796
MONDO:0009943,8.958197028811668
MONDO:0000138,10.056809317479777
MONDO:0015356,4.863852466589567
MONDO:0000141,7.977367775799941
MONDO:0019040,3.690338869748339
MONDO:0000144,8.670514956359886
MONDO:0021075,6.5304487928636155
MONDO:0000147,6.560301756013297
MONDO:0002771,7.417751987864518
MONDO:0000148,8.110899168424464
MONDO:0003225,4.753504409420701
MONDO:0005172,2.349746662109304
MONDO:0000151,7.491859960018241
MONDO:0017578,7.977367775799941
MONDO:0000152,8.265049848251723
MONDO:0020285,5.9136745910882444
MONDO:0000153,7.859584740143557
MONDO:0019245,5.545949810962927
MONDO:0000155,8.958197028811668
MONDO:0018234,3.6047603630425513
MONDO:0000156,8.670514956359886
MONDO:0000158,8.958197028811668
MONDO:0005497,3.27916272384466
MONDO:0000159,7.977367775799941
MONDO:0016022,7.284220595239995
MONDO:0000160,7.859584740143557
MONDO:0000162,7.977367775799941
MONDO:0000166,9.363662136919832
MONDO:0020683,4.090662578356085
MONDO:0021669,4.9879051152595455
MONDO:0024237,3.569125298995167
MONDO:0000167,6.760972451475448
MONDO:0000169,9.363662136919832
MONDO:0000170,7.658914044681406
MONDO:0001476,6.965766864121461
MONDO:0016764,6.878755487131832
MONDO:0015327,3.534716519309625
MONDO:0000171,7.3487591163775665
MONDO:0016156,7.223595973423561
MONDO:0016184,7.223595973423561
MONDO:0016185,7.1664375595836125
MONDO:0017745,6.655611935817621
MONDO:0018276,6.319139699196409
MONDO:0018869,7.112370338313337
MONDO:0020247,6.622822112994631
MONDO:0700066,7.112370338313337
MONDO:0700068,7.112370338313337
MONDO:0000172,7.859584740143557
MONDO:0000173,7.754224224485731
MONDO:0015148,7.977367775799941
MONDO:0000179,8.670514956359886
MONDO:0015159,3.8892928265914355
MONDO:0017270,6.272619683561516
MONDO:0018491,8.265049848251723
MONDO:0000181,8.670514956359886
MONDO:0004674,7.859584740143557
MONDO:0100500,4.477079491493555
MONDO:0957008,5.726075977193446
MONDO:0000182,8.670514956359886
MONDO:0018940,6.393247671350131
MONDO:0015653,4.156911963897286
MONDO:0000188,8.958197028811668
MONDO:0019226,8.110899168424464
MONDO:0100033,5.286124693014112
MONDO:0007263,5.996366306933358
MONDO:0000190,8.670514956359886
MONDO:0005336,3.9365118985288268
MONDO:0000192,8.958197028811668
MONDO:0700223,4.062847890173208
MONDO:0002525,4.422019714310528
MONDO:0000193,8.958197028811668
MONDO:0015898,7.0122868797563545
MONDO:0016072,5.151534539041347
MONDO:0000200,8.670514956359886
MONDO:0000208,10.056809317479777
MONDO:0000209,8.958197028811668
MONDO:0015168,6.393247671350131
MONDO:0024257,5.441688800638517
MONDO:0019052,2.391055885618078
MONDO:0000210,9.363662136919832
MONDO:0003122,8.110899168424464
MONDO:0000211,8.958197028811668
MONDO:0001566,7.859584740143557
MONDO:0000212,8.958197028811668
MONDO:0000213,8.958197028811668
MONDO:0007179,4.50384973255816
MONDO:0000214,8.958197028811668
MONDO:0001027,8.958197028811668
MONDO:0000222,10.056809317479777
MONDO:0006504,7.112370338313337
MONDO:0000224,10.056809317479777
MONDO:0037792,4.346382300104907
MONDO:0004805,4.301067103892865
