node,IC
UBERON:0000061,0.003808802928642052
CL:0000000,2.4632831693158224
CL:0000003,2.4640274938756797
CL:0000057,5.589151246493198
CL:0000005,8.973541509838972
UBERON:0010313,2.717791468085605
CL:0000101,6.055770777754693
CL:0000006,6.265491308736761
CL:0000197,5.882499056480656
CL:0002321,6.575646237040601
CL:0000007,8.280394329279027
CL:0000333,7.720778541343604
CL:0000008,9.666688690398917
CL:0000011,9.666688690398917
CL:0000034,5.418193448349558
CL:0000014,8.973541509838972
CL:0000039,6.447812865530716
CL:0000586,6.575646237040601
CL:0000015,7.364103597404871
CL:0000017,8.568076401730808
CL:0000548,2.532594969206051
CL:0000018,9.666688690398917
CL:0000413,7.268793417600547
CL:0000408,8.280394329279027
CL:0000019,8.568076401730808
CL:0000020,9.666688690398917
CL:0000021,7.364103597404871
CL:0000022,9.666688690398917
CL:0000023,8.280394329279027
CL:0000024,9.666688690398917
CL:0000025,8.973541509838972
CL:0000675,8.568076401730808
CL:0000192,5.589151246493198
CL:0000027,9.666688690398917
CL:0000540,4.591514875165091
CL:0000029,6.894099968159136
CL:0000055,6.265491308736761
CL:0000030,8.568076401730808
UBERON:0004121,1.1267560120131908
CL:0000031,8.568076401730808
CL:0011115,4.579092355166534
CL:0000723,6.447812865530716
CL:0000035,7.469464113062697
CL:0000036,7.587247148719081
CL:0000037,7.268793417600547
CL:0000988,4.190225138467406
CL:0008001,5.461996071007952
CL:0011026,5.0615185044108255
CL:0000764,6.334484180223713
CL:0000038,8.280394329279027
CL:0000839,6.776316932502753
CL:0000763,5.235871891555604
CL:0000040,9.666688690398917
CL:0002194,8.568076401730808
UBERON:0004120,1.417374944138281
CL:0000048,5.9778092362849815
CL:0002371,2.6070710621075346
CL:0002032,6.575646237040601
CL:0000049,8.280394329279027
CL:0000050,8.568076401730808
CL:0000051,8.057250777964818
CL:0000052,8.973541509838972
CL:0000680,7.364103597404871
CL:0000056,7.469464113062697
CL:0002320,4.732214757268226
CL:0000058,9.666688690398917
CL:0000146,8.973541509838972
CL:0000059,9.666688690398917
CL:0000151,4.273061144046555
CL:0002077,5.362623597194747
UBERON:0005176,6.575646237040601
CL:0000060,9.666688690398917
CL:0000710,5.838047293909822
CL:0002148,8.568076401730808
CL:0000062,8.057250777964818
CL:0000064,6.894099968159136
CL:0000067,7.181782040610917
CL:0000065,8.973541509838972
CL:0000066,3.542005299504712
UBERON:0000483,2.1823200471127864
CL:0000068,6.408592152377436
UBERON:0000058,4.440942016685716
CL:0000069,7.720778541343604
CL:0000076,5.247848082602319
CL:0000071,5.816541088688859
CL:0002139,5.677704643834643
UBERON:0004638,5.1893518759207105
CL:0000072,7.364103597404871
CL:0002078,4.696875390822917
CL:0000075,5.404008813357602
CL:0000077,6.894099968159136
CL:0000213,5.081721211728345
